Time,Rainfall ,Soil moisture ,Ambient temp ,Depth ,,,,
4/30/2013 2:00,0,0.5855,25.2,30,,,,
4/30/2013 3:00,0,0.5855,25.1,30,,,,
4/30/2013 4:00,0,0.5855,24.9,30,,,,
4/30/2013 5:00,0,0.5855,24.8,30,,,,
4/30/2013 6:00,0,0.5856,24.7,30,,,,
4/30/2013 7:00,0,0.5855,24.5,30,,,,
4/30/2013 8:00,0,0.5855,24.5,30,,,,
4/30/2013 9:00,0,0.5853,24.5,30,,,,
4/30/2013 10:00,0,0.5851,24.5,30,,,,
4/30/2013 11:00,0,0.585,24.6,30,,,,
4/30/2013 12:00,0,0.5847,24.8,30,,,,
4/30/2013 13:00,0,0.5846,25,30,,,,
4/30/2013 14:00,0,0.5842,25.3,30,,,,
4/30/2013 15:00,0,0.5841,25.5,30,,,,
4/30/2013 16:00,0,0.5841,25.7,30,,,,
4/30/2013 17:00,0,0.5851,25.8,30,,,,
4/30/2013 18:00,0,0.5853,25.9,30,,,,
4/30/2013 19:00,0,0.5854,25.9,30,,,,
4/30/2013 20:00,0,0.5855,25.9,30,,,,
4/30/2013 21:00,0,0.5854,25.9,30,,,,
4/30/2013 22:00,0,0.5855,25.8,30,,,,
4/30/2013 23:00,0,0.5857,25.7,30,,,,
5/1/2013 0:00,0,0.5856,25.7,30,,,,
5/1/2013 1:00,0,0.5852,25.5,30,,,,
5/1/2013 2:00,0,0.585,25.4,30,,,,
5/1/2013 3:00,0,0.5851,25.4,30,,,,
5/1/2013 4:00,0,0.5851,25.3,30,,,,
5/1/2013 5:00,0,0.5851,25.2,30,,,,
5/1/2013 6:00,0,0.5851,25,30,,,,
5/1/2013 7:00,0,0.5849,24.9,30,,,,
5/1/2013 8:00,0,0.5847,24.9,30,,,,
5/1/2013 9:00,0,0.5845,24.9,30,,,,
5/1/2013 10:00,0,0.584,24.9,30,,,,
5/1/2013 11:00,0,0.5838,24.9,30,,,,
5/1/2013 12:00,0,0.5834,25,30,,,,
5/1/2013 13:00,0,0.5829,25.3,30,,,,
5/1/2013 14:00,0,0.5825,25.5,30,,,,
5/1/2013 15:00,0,0.5821,25.7,30,,,,
5/1/2013 16:00,0,0.5834,25.9,30,,,,
5/1/2013 17:00,0,0.5842,26,30,,,,
5/1/2013 18:00,0,0.5842,26.2,30,,,,
